item_id,domain_id,metric_id,metric_name,aliases,coverage_node,role,option_A,option_B,option_C,option_D,option_E,your_answer(A/B/C/D/E),confidence(1-5),notes
bind_001,mg_domain_01,mg_metric_0003,Governed Governance Assertion 0003,governed governance assertion 0003 | governance assertion 0003 | public governance signal 0003,mg_metric_0003_coverage_contract_01,required_asset,mg_domain_01_node_007,mg_domain_01_node_012,mg_domain_01_node_006,mg_domain_01_node_014,E. 无法从已发布契约推出 / 信息不足,"A",5,基于coverage_contract追溯
bind_002,mg_domain_01,mg_metric_0006,Governed Semantic Caliber Assertion 0006,governed semantic caliber assertion 0006 | semantic caliber assertion 0006 | public governance signal 0006,mg_metric_0006_coverage_contract_01,required_asset,mg_domain_01_node_009,mg_domain_01_node_012,mg_domain_01_node_007,mg_domain_01_node_013,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_003,mg_domain_01,mg_metric_0011,Governed Ratio Caliber 0011,governed ratio caliber 0011 | ratio caliber 0011 | public governance signal 0011,mg_metric_0011_numerator_contract,numerator,mg_domain_01_node_006,mg_domain_01_node_008,mg_domain_01_node_011,mg_domain_01_node_003,E. 无法从已发布契约推出 / 信息不足,"C",5,血缘连通
bind_004,mg_domain_01,mg_metric_0014,Governed Disclosure Policy 0014,governed disclosure policy 0014 | disclosure policy 0014 | public governance signal 0014,mg_metric_0014_coverage_contract_02,required_asset,mg_domain_01_node_014,mg_domain_01_node_010,mg_domain_01_node_009,mg_domain_01_node_004,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_005,mg_domain_01,mg_metric_0014,Governed Disclosure Policy 0014,governed disclosure policy 0014 | disclosure policy 0014 | public governance signal 0014,mg_metric_0014_coverage_contract_01,required_asset,mg_domain_01_node_005,mg_domain_01_node_003,mg_domain_01_node_008,mg_domain_01_node_004,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_006,mg_domain_02,mg_metric_0044,Governed Time Anchor 0044,governed time anchor 0044 | time anchor 0044 | public governance signal 0044,mg_metric_0044_coverage_contract_01,required_asset,mg_domain_02_node_016,mg_domain_02_node_015,mg_domain_02_node_004,mg_domain_02_node_017,E. 无法从已发布契约推出 / 信息不足,"D",5,覆盖节点明确
bind_007,mg_domain_02,mg_metric_0045,Governed Time Anchor 0045,governed time anchor 0045 | time anchor 0045 | public governance signal 0045,mg_metric_0045_coverage_contract_01,required_asset,mg_domain_02_node_018,mg_domain_02_node_023,mg_domain_02_node_010,mg_domain_02_node_009,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_008,mg_domain_02,mg_metric_0022,Governed Semantic Caliber Assertion 0022,governed semantic caliber assertion 0022 | semantic caliber assertion 0022 | public governance signal 0022,mg_metric_0022_coverage_contract_01,required_asset,mg_domain_02_node_025,mg_domain_02_node_003,mg_domain_02_node_013,mg_domain_02_node_002,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_009,mg_domain_02,mg_metric_0036,Governed Temporal Caliber 0036,governed temporal caliber 0036 | temporal caliber 0036 | public governance signal 0036,mg_metric_0036_coverage_contract_01,required_asset,mg_domain_02_node_016,mg_domain_02_node_006,mg_domain_02_node_026,mg_domain_02_node_018,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_010,mg_domain_02,mg_metric_0040,Governed Temporal Caliber 0040,governed temporal caliber 0040 | temporal caliber 0040 | public governance signal 0040,mg_metric_0040_coverage_contract_01,required_asset,mg_domain_02_node_026,mg_domain_02_node_015,mg_domain_02_node_011,mg_domain_02_node_010,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_011,mg_domain_03,mg_metric_0047,Governed Governance Assertion 0047,governed governance assertion 0047 | governance assertion 0047 | public governance signal 0047,mg_metric_0047_coverage_contract_01,required_asset,mg_domain_03_node_001,mg_domain_03_node_010,mg_domain_03_node_017,mg_domain_03_node_013,E. 无法从已发布契约推出 / 信息不足,"B",5,实体层联通
bind_012,mg_domain_03,mg_metric_0048,Governed Governance Assertion 0048,governed governance assertion 0048 | governance assertion 0048 | public governance signal 0048,mg_metric_0048_coverage_contract_01,required_asset,mg_domain_03_node_005,mg_domain_03_node_015,mg_domain_03_node_010,mg_domain_03_node_011,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_013,mg_domain_03,mg_metric_0049,Governed Governance Assertion 0049,governed governance assertion 0049 | governance assertion 0049 | public governance signal 0049,mg_metric_0049_coverage_contract_01,required_asset,mg_domain_03_node_005,mg_domain_03_node_003,mg_domain_03_node_010,mg_domain_03_node_008,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_014,mg_domain_03,mg_metric_0054,Governed Semantic Caliber Assertion 0054,governed semantic caliber assertion 0054 | semantic caliber assertion 0054 | public governance signal 0054,mg_metric_0054_coverage_contract_01,required_asset,mg_domain_03_node_015,mg_domain_03_node_016,mg_domain_03_node_006,mg_domain_03_node_002,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_015,mg_domain_03,mg_metric_0056,Governed Ratio Caliber 0056,governed ratio caliber 0056 | ratio caliber 0056 | public governance signal 0056,mg_metric_0056_numerator_contract,numerator,mg_domain_03_node_010,mg_domain_03_node_008,mg_domain_03_node_015,mg_domain_03_node_004,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_016,mg_domain_04,mg_metric_0072,Governed Ratio Caliber 0072,governed ratio caliber 0072 | ratio caliber 0072 | public governance signal 0072,mg_metric_0072_numerator_contract,numerator,mg_domain_04_node_017,mg_domain_04_node_009,mg_domain_04_node_010,mg_domain_04_node_007,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_017,mg_domain_04,mg_metric_0072,Governed Ratio Caliber 0072,governed ratio caliber 0072 | ratio caliber 0072 | public governance signal 0072,mg_metric_0072_denominator_contract,denominator,mg_domain_04_node_016,mg_domain_04_node_002,mg_domain_04_node_005,mg_domain_04_node_010,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_018,mg_domain_04,mg_metric_0065,Governed Semantic Caliber Assertion 0065,governed semantic caliber assertion 0065 | semantic caliber assertion 0065 | public governance signal 0065,mg_metric_0065_coverage_contract_01,required_asset,mg_domain_04_node_015,mg_domain_04_node_008,mg_domain_04_node_004,mg_domain_04_node_016,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_019,mg_domain_04,mg_metric_0060,Governed Governance Assertion 0060,governed governance assertion 0060 | governance assertion 0060 | public governance signal 0060,mg_metric_0060_coverage_contract_01,required_asset,mg_domain_04_node_009,mg_domain_04_node_008,mg_domain_04_node_010,mg_domain_04_node_012,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_020,mg_domain_04,mg_metric_0076,Governed Disclosure Policy 0076,governed disclosure policy 0076 | disclosure policy 0076 | public governance signal 0076,mg_metric_0076_coverage_contract_01,required_asset,mg_domain_04_node_017,mg_domain_04_node_004,mg_domain_04_node_014,mg_domain_04_node_003,E. 无法从已发布契约推出 / 信息不足,"D",5,边缘查询成功
bind_021,mg_domain_05,mg_metric_0086,Governed Ratio Caliber 0086,governed ratio caliber 0086 | ratio caliber 0086 | public governance signal 0086,mg_metric_0086_denominator_contract,denominator,mg_domain_05_node_007,mg_domain_05_node_003,mg_domain_05_node_010,mg_domain_05_node_006,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_022,mg_domain_05,mg_metric_0080,Governed Governance Assertion 0080,governed governance assertion 0080 | governance assertion 0080 | public governance signal 0080,mg_metric_0080_coverage_contract_01,required_asset,mg_domain_05_node_003,mg_domain_05_node_009,mg_domain_05_node_006,mg_domain_05_node_011,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_023,mg_domain_05,mg_metric_0085,Governed Ratio Caliber 0085,governed ratio caliber 0085 | ratio caliber 0085 | public governance signal 0085,mg_metric_0085_numerator_contract,numerator,mg_domain_05_node_002,mg_domain_05_node_006,mg_domain_05_node_010,mg_domain_05_node_005,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_024,mg_domain_05,mg_metric_0087,Governed Ratio Caliber 0087,governed ratio caliber 0087 | ratio caliber 0087 | public governance signal 0087,mg_metric_0087_denominator_contract,denominator,mg_domain_05_node_005,mg_domain_05_node_007,mg_domain_05_node_008,mg_domain_05_node_002,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_025,mg_domain_05,mg_metric_0084,Governed Semantic Caliber Assertion 0084,governed semantic caliber assertion 0084 | semantic caliber assertion 0084 | public governance signal 0084,mg_metric_0084_coverage_contract_01,required_asset,mg_domain_05_node_003,mg_domain_05_node_011,mg_domain_05_node_010,mg_domain_05_node_002,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_026,mg_domain_06,mg_metric_0090,Governed Governance Assertion 0090,governed governance assertion 0090 | governance assertion 0090 | public governance signal 0090,mg_metric_0090_coverage_contract_01,required_asset,mg_domain_06_node_010,mg_domain_06_node_002,mg_domain_06_node_003,mg_domain_06_node_011,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_027,mg_domain_06,mg_metric_0093,Governed Semantic Caliber Assertion 0093,governed semantic caliber assertion 0093 | semantic caliber assertion 0093 | public governance signal 0093,mg_metric_0093_coverage_contract_01,required_asset,mg_domain_06_node_013,mg_domain_06_node_005,mg_domain_06_node_015,mg_domain_06_node_002,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_028,mg_domain_06,mg_metric_0098,Governed Ratio Caliber 0098,governed ratio caliber 0098 | ratio caliber 0098 | public governance signal 0098,mg_metric_0098_numerator_contract,numerator,mg_domain_06_node_003,mg_domain_06_node_013,mg_domain_06_node_002,mg_domain_06_node_007,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_029,mg_domain_06,mg_metric_0095,Governed Governance Assertion 0095,governed governance assertion 0095 | governance assertion 0095 | public governance signal 0095,mg_metric_0095_coverage_contract_01,required_asset,mg_domain_06_node_010,mg_domain_06_node_007,mg_domain_06_node_005,mg_domain_06_node_001,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_030,mg_domain_06,mg_metric_0092,Governed Semantic Caliber Assertion 0092,governed semantic caliber assertion 0092 | semantic caliber assertion 0092 | public governance signal 0092,mg_metric_0092_coverage_contract_01,required_asset,mg_domain_06_node_011,mg_domain_06_node_005,mg_domain_06_node_007,mg_domain_06_node_013,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_031,mg_domain_07,mg_metric_0113,Governed Temporal Caliber 0113,governed temporal caliber 0113 | temporal caliber 0113 | public governance signal 0113,mg_metric_0113_coverage_contract_02,required_asset,mg_domain_07_node_011,mg_domain_07_node_007,mg_domain_07_node_006,mg_domain_07_node_003,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_032,mg_domain_07,mg_metric_0111,Governed Ratio Caliber 0111,governed ratio caliber 0111 | ratio caliber 0111 | public governance signal 0111,mg_metric_0111_denominator_contract,denominator,mg_domain_07_node_003,mg_domain_07_node_005,mg_domain_07_node_012,mg_domain_07_node_001,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_033,mg_domain_07,mg_metric_0114,Governed Temporal Caliber 0114,governed temporal caliber 0114 | temporal caliber 0114 | public governance signal 0114,mg_metric_0114_coverage_contract_02,required_asset,mg_domain_07_node_007,mg_domain_07_node_010,mg_domain_07_node_008,mg_domain_07_node_005,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_034,mg_domain_07,mg_metric_0107,Governed Governance Assertion 0107,governed governance assertion 0107 | governance assertion 0107 | public governance signal 0107,mg_metric_0107_coverage_contract_01,required_asset,mg_domain_07_node_006,mg_domain_07_node_004,mg_domain_07_node_010,mg_domain_07_node_001,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_035,mg_domain_07,mg_metric_0110,Governed Ratio Caliber 0110,governed ratio caliber 0110 | ratio caliber 0110 | public governance signal 0110,mg_metric_0110_numerator_contract,numerator,mg_domain_07_node_011,mg_domain_07_node_007,mg_domain_07_node_009,mg_domain_07_node_003,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_036,mg_domain_08,mg_metric_0120,Governed Governance Assertion 0120,governed governance assertion 0120 | governance assertion 0120 | public governance signal 0120,mg_metric_0120_coverage_contract_01,required_asset,mg_domain_08_node_007,mg_domain_08_node_009,mg_domain_08_node_011,mg_domain_08_node_012,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_037,mg_domain_08,mg_metric_0119,Governed Governance Assertion 0119,governed governance assertion 0119 | governance assertion 0119 | public governance signal 0119,mg_metric_0119_coverage_contract_01,required_asset,mg_domain_08_node_009,mg_domain_08_node_002,mg_domain_08_node_013,mg_domain_08_node_012,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_038,mg_domain_08,mg_metric_0121,Governed Governance Assertion 0121,governed governance assertion 0121 | governance assertion 0121 | public governance signal 0121,mg_metric_0121_coverage_contract_01,required_asset,mg_domain_08_node_014,mg_domain_08_node_016,mg_domain_08_node_013,mg_domain_08_node_004,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_039,mg_domain_08,mg_metric_0126,Governed Semantic Caliber Assertion 0126,governed semantic caliber assertion 0126 | semantic caliber assertion 0126 | public governance signal 0126,mg_metric_0126_coverage_contract_01,required_asset,mg_domain_08_node_007,mg_domain_08_node_017,mg_domain_08_node_006,mg_domain_08_node_016,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_040,mg_domain_08,mg_metric_0128,Governed Ratio Caliber 0128,governed ratio caliber 0128 | ratio caliber 0128 | public governance signal 0128,mg_metric_0128_denominator_contract,denominator,mg_domain_08_node_002,mg_domain_08_node_003,mg_domain_08_node_015,mg_domain_08_node_006,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_041,mg_domain_09,mg_metric_0135,Governed Semantic Caliber Assertion 0135,governed semantic caliber assertion 0135 | semantic caliber assertion 0135 | public governance signal 0135,mg_metric_0135_coverage_contract_01,required_asset,mg_domain_09_node_010,mg_domain_09_node_018,mg_domain_09_node_007,mg_domain_09_node_017,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_042,mg_domain_09,mg_metric_0136,Governed Ratio Caliber 0136,governed ratio caliber 0136 | ratio caliber 0136 | public governance signal 0136,mg_metric_0136_denominator_contract,denominator,mg_domain_09_node_012,mg_domain_09_node_013,mg_domain_09_node_011,mg_domain_09_node_010,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_043,mg_domain_09,mg_metric_0134,Governed Semantic Caliber Assertion 0134,governed semantic caliber assertion 0134 | semantic caliber assertion 0134 | public governance signal 0134,mg_metric_0134_coverage_contract_01,required_asset,mg_domain_09_node_012,mg_domain_09_node_005,mg_domain_09_node_001,mg_domain_09_node_017,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_044,mg_domain_09,mg_metric_0137,Governed Ratio Caliber 0137,governed ratio caliber 0137 | ratio caliber 0137 | public governance signal 0137,mg_metric_0137_denominator_contract,denominator,mg_domain_09_node_004,mg_domain_09_node_005,mg_domain_09_node_018,mg_domain_09_node_012,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_045,mg_domain_09,mg_metric_0132,Governed Governance Assertion 0132,governed governance assertion 0132 | governance assertion 0132 | public governance signal 0132,mg_metric_0132_coverage_contract_01,required_asset,mg_domain_09_node_005,mg_domain_09_node_014,mg_domain_09_node_002,mg_domain_09_node_007,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_046,mg_domain_10,mg_metric_0145,Governed Ratio Caliber 0145,governed ratio caliber 0145 | ratio caliber 0145 | public governance signal 0145,mg_metric_0145_denominator_contract,denominator,mg_domain_10_node_008,mg_domain_10_node_009,mg_domain_10_node_001,mg_domain_10_node_007,E. 无法从已发布契约推出 / 信息不足,"D",5,依赖验证OK
bind_047,mg_domain_10,mg_metric_0143,Governed Semantic Caliber Assertion 0143,governed semantic caliber assertion 0143 | semantic caliber assertion 0143 | public governance signal 0143,mg_metric_0143_coverage_contract_01,required_asset,mg_domain_10_node_012,mg_domain_10_node_001,mg_domain_10_node_011,mg_domain_10_node_004,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_048,mg_domain_10,mg_metric_0144,Governed Semantic Caliber Assertion 0144,governed semantic caliber assertion 0144 | semantic caliber assertion 0144 | public governance signal 0144,mg_metric_0144_coverage_contract_01,required_asset,mg_domain_10_node_004,mg_domain_10_node_010,mg_domain_10_node_012,mg_domain_10_node_005,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_049,mg_domain_10,mg_metric_0139,Governed Governance Assertion 0139,governed governance assertion 0139 | governance assertion 0139 | public governance signal 0139,mg_metric_0139_coverage_contract_01,required_asset,mg_domain_10_node_008,mg_domain_10_node_006,mg_domain_10_node_005,mg_domain_10_node_003,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_050,mg_domain_10,mg_metric_0138,Governed Governance Assertion 0138,governed governance assertion 0138 | governance assertion 0138 | public governance signal 0138,mg_metric_0138_coverage_contract_01,required_asset,mg_domain_10_node_002,mg_domain_10_node_008,mg_domain_10_node_001,mg_domain_10_node_007,E. 无法从已发布契约推出 / 信息不足,"D",5,
bind_051,mg_domain_11,mg_metric_0149,Governed Governance Assertion 0149,governed governance assertion 0149 | governance assertion 0149 | public governance signal 0149,mg_metric_0149_coverage_contract_01,required_asset,mg_domain_11_node_015,mg_domain_11_node_014,mg_domain_11_node_008,mg_domain_11_node_003,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_052,mg_domain_11,mg_metric_0157,Governed Ratio Caliber 0157,governed ratio caliber 0157 | ratio caliber 0157 | public governance signal 0157,mg_metric_0157_denominator_contract,denominator,mg_domain_11_node_007,mg_domain_11_node_012,mg_domain_11_node_015,mg_domain_11_node_016,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_053,mg_domain_11,mg_metric_0156,Governed Ratio Caliber 0156,governed ratio caliber 0156 | ratio caliber 0156 | public governance signal 0156,mg_metric_0156_denominator_contract,denominator,mg_domain_11_node_013,mg_domain_11_node_017,mg_domain_11_node_007,mg_domain_11_node_008,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_054,mg_domain_11,mg_metric_0161,Governed Time Anchor 0161,governed time anchor 0161 | time anchor 0161 | public governance signal 0161,mg_metric_0161_coverage_contract_01,required_asset,mg_domain_11_node_007,mg_domain_11_node_010,mg_domain_11_node_013,mg_domain_11_node_017,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_055,mg_domain_11,mg_metric_0147,Governed Governance Assertion 0147,governed governance assertion 0147 | governance assertion 0147 | public governance signal 0147,mg_metric_0147_coverage_contract_01,required_asset,mg_domain_11_node_006,mg_domain_11_node_012,mg_domain_11_node_016,mg_domain_11_node_009,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_056,mg_domain_12,mg_metric_0169,Governed Ratio Caliber 0169,governed ratio caliber 0169 | ratio caliber 0169 | public governance signal 0169,mg_metric_0169_denominator_contract,denominator,mg_domain_12_node_005,mg_domain_12_node_006,mg_domain_12_node_002,mg_domain_12_node_004,E. 无法从已发布契约推出 / 信息不足,"B",5,
bind_057,mg_domain_12,mg_metric_0165,Governed Governance Assertion 0165,governed governance assertion 0165 | governance assertion 0165 | public governance signal 0165,mg_metric_0165_coverage_contract_01,required_asset,mg_domain_12_node_003,mg_domain_12_node_008,mg_domain_12_node_005,mg_domain_12_node_007,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_058,mg_domain_12,mg_metric_0168,Governed Semantic Caliber Assertion 0168,governed semantic caliber assertion 0168 | semantic caliber assertion 0168 | public governance signal 0168,mg_metric_0168_coverage_contract_01,required_asset,mg_domain_12_node_002,mg_domain_12_node_006,mg_domain_12_node_007,mg_domain_12_node_001,E. 无法从已发布契约推出 / 信息不足,"C",5,
bind_059,mg_domain_12,mg_metric_0167,Governed Semantic Caliber Assertion 0167,governed semantic caliber assertion 0167 | semantic caliber assertion 0167 | public governance signal 0167,mg_metric_0167_coverage_contract_01,required_asset,mg_domain_12_node_007,mg_domain_12_node_005,mg_domain_12_node_006,mg_domain_12_node_003,E. 无法从已发布契约推出 / 信息不足,"A",5,
bind_060,mg_domain_12,mg_metric_0163,Governed Governance Assertion 0163,governed governance assertion 0163 | governance assertion 0163 | public governance signal 0163,mg_metric_0163_coverage_contract_01,required_asset,mg_domain_12_node_008,mg_domain_12_node_004,mg_domain_12_node_003,mg_domain_12_node_006,E. 无法从已发布契约推出 / 信息不足,"B",5,